"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","class"
-3.91365,-14.08135,"brown",-1.956825,0.5647445,-6.84764,"no","large",499.086,1024.5,"N"
1.1213425,-13.59305,"brown",-6.79652625,-0.153572,-13.8440875,"no","normal",351.916,1088.875,"P"
0.624534777777778,-11.9796194444444,"red",-5.98981138888889,0.0792429444444444,-21.8449277777778,"yes","normal",472.624777777778,1005.5,"P"
2.10946133333333,-12.625669047619,"brown",-6.31283642857143,-0.371040642857143,-3.10503904761905,"no","normal",186.799523809524,1093.95238095238,"N"
1.50665333333333,-12.3068333333333,"brown",-6.15343,-0.0852563333333333,-11.02895,"no","normal",414.805,1157,"P"
4.821065,-11.21705,"brown",2.41053,0.153285,9.41515,"no","large",439.737,1070,"N"
3.192238,-11.92098,"green",-5.960494,-0.1130456,-9.834884,"no","normal",205.4932,1018.2,"N"
-3.69547375,-12.6962,"brown",-5.201375,0.34632175,-11.53033875,"no","large",289.18725,1004.5,"P"
2.319813,-12.5911,"green",-6.2955525,-0.12528025,-17.612475,"no","normal",409.88525,1055.5,"P"
-1.49122,-13.7554,"brown",-6.87770333333333,-0.078454,-12.7155,"no","normal",178.981333333333,1128,"P"
-4.03981,-11.462425,"brown",-5.7312075,0.04277925,-13.552325,"no","normal",422.5905,1157,"P"
1.56164385714286,-12.7581714285714,"brown",-6.37908571428571,0.301268428571429,-10.1152885714286,"no","large",130.074428571429,1056,"N"
-0.4979816875,-12.102625,"brown",-6.051311625,-0.0369669125,-18.39500375,"no","normal",257.9666,1186.55,"P"
3.9443225,-13.2072125,"red",1.97216125,0.08112625,5.42207125,"no","normal",304.00775,1149.5,"N"
-2.317281,-12.13345,"brown",-3.517175375,0.103273,-2.538893375,"no","large",400.4505,1092.25,"N"
-3.40732433333333,-12.5774966666667,"red",-2.16493033333333,0.00680739999999997,-7.701226,"no","normal",383.3823,1051.93333333333,"P"
2.14639983333333,-11.9313166666667,"brown",1.07320033333333,-0.198505166666667,2.03829133333333,"no","normal",140.885,1044.16666666667,"N"
-2.38099233333333,-13.17615,"brown",-6.58807416666667,-0.2971375,-19.4672166666667,"no","normal",398.025333333333,1015.83333333333,"P"
-2.098997125,-12.0401875,"brown",-1.049497875,-0.22333725,-0.745064375,"no","normal",192.319,1134.125,"N"
0.3925025,-12.9100416666667,"brown",-6.45502125,-0.138137291666667,-27.7952583333333,"no","normal",313.516291666667,1026.66666666667,"P"
-1.10381,-11.95016,"brown",-5.975076,0.0350162,-19.37492,"no","normal",388.31,1175.6,"P"
2.21112883333333,-13.4765616666667,"brown",-6.73828233333333,-0.225157416666667,-9.839665,"no","normal",241.850166666667,1115.55,"N"
-0.00734696666666701,-12.970995,"brown",-6.48549683333333,-0.425113,-27.8515233333333,"no","normal",199.010366666667,1194.68333333333,"P"
2.77116475,-11.237125,"brown",-5.6185525,-0.746286,-25.70095,"no","normal",368.1025,1098,"P"
2.133475,-11.998725,"brown",-5.9993625,0.39143825,-12.2226,"no","large",132.30675,1121,"N"
3.66901,-12.5769666666667,"brown",-6.28848,-0.0739133333333333,-9.01347,"no","normal",335.614666666667,1149.33333333333,"N"
3.424875,-12.4782,"brown",-6.239095,0.05796725,-9.32671,"no","large",142.3085,1171,"N"
1.92367575,-11.963475,"brown",0.96183675,-0.34028525,1.15381725,"no","normal",294.08975,1102.5,"N"
-0.558521916666667,-13.5993166666667,"brown",-0.27926075,-0.0726535,-0.754152166666667,"no","normal",385.4175,1152.58333333333,"N"
0.713353333333333,-11.8905333333333,"brown",-1.0344755,-0.2876525,-0.4563645,"no","normal",136.997666666667,1176.83333333333,"N"
-1.24017501666667,-12.7722016666667,"brown",-6.09342266666667,-0.1177535,-4.57428063333333,"no","normal",435.208966666667,1137.91666666667,"N"
0.0509282,-12.31843,"brown",0.0254644,0.1405315,-0.0253347,"no","large",447.6053,1072.2,"N"
-2.44054811111111,-12.6797333333333,"brown",-6.33986305555556,-0.241561805555556,-23.5619388888889,"no","normal",279.977388888889,1185.25,"P"
2.1320565,-10.75975,"brown",-5.37987,-0.303572,-2.629484,"no","normal",256.9695,1093.75,"N"
2.82657,-12.04815,"brown",-6.0240725,0.0698185,-5.8672425,"no","normal",182.741,1021,"N"
1.06674416666667,-11.328525,"brown",-5.664262,-0.218499316666667,-20.1718416666667,"yes","normal",363.382716666667,1165.56666666667,"P"
1.87175666666667,-13.5270333333333,"brown",-6.76352666666667,-0.113769,-31.9587,"yes","normal",451.816333333333,1145.33333333333,"P"
-2.39047698214286,-12.8933625,"brown",-6.44668232142857,-0.0983744107142857,-28.8086160714286,"no","normal",153.484053571429,1140.44642857143,"P"
-2.33639575,-12.3396375,"brown",-2.00401893055556,0.0653594444444444,-3.86472615277778,"no","normal",174.704847222222,1114.81944444444,"N"
-0.908518523809524,-12.4583797619048,"red",-6.22919297619048,-0.190376869047619,-24.3520071428571,"no","normal",384.681202380952,1164.55952380952,"P"
3.55594,-12.694825,"brown",-6.34742,-0.0427075,-16.218525,"no","normal",161.81325,1051.25,"P"
2.67553783333333,-12.6661833333333,"brown",-6.33308666666667,0.104290166666667,-1.77159333333333,"no","large",452.237,1117.66666666667,"N"
-0.220513208333333,-12.7506875,"brown",-6.37533958333333,0.0195060416666667,-28.6516125,"no","normal",281.197916666667,1172.70833333333,"P"
2.295145,-12.3509714285714,"brown",1.14757357142857,0.382684428571429,2.19350071428571,"no","large",362.765428571429,1197,"N"
-3.745725,-12.447475,"brown",-6.2237425,0.0888815,-12.5649925,"no","normal",170.54375,1029.75,"P"
2.95639,-14.30526,"brown",-7.152636,-0.071844,-32.25496,"no","normal",332.0558,1034.8,"P"
-1.72343658730159,-12.0786202380952,"brown",-0.861717972222222,0.0480148968253968,-1.56448587698413,"no","normal",200.229436507936,1058.78174603175,"N"
1.54771616666667,-11.54745,"brown",0.773858,-0.107114,1.86237616666667,"no","normal",381.5975,1012,"N"
-2.1558575,-13.730075,"brown",-6.8650425,0.3470625,-20.451325,"no","large",268.84275,1102.5,"N"
-4.05871666666667,-12.6589333333333,"brown",-6.32946,-0.354907666666667,-7.91799666666667,"no","normal",431.274666666667,1198.33333333333,"P"
2.92257772727273,-12.5808336363636,"brown",-2.44791790909091,0.224207181818182,0.572474590909091,"no","normal",133.449772727273,1110.50909090909,"N"
0.280197266666667,-12.5487954166667,"brown",-6.274395625,0.0606058208333333,-12.8280953333333,"no","normal",130.880733333333,1196.48333333333,"P"
1.6225231,-13.36274,"red",-6.681369,-0.0621965,-29.8097,"no","normal",299.1178,1004.4,"P"
-2.41874,-11.7296857142857,"brown",-2.97189028571429,0.225385428571429,-3.98009428571429,"no","large",294.579714285714,1052.28571428571,"N"
-2.49182975,-12.268185,"brown",-6.13410025,0.1048353,-22.9260625,"no","normal",232.8604,1052.225,"P"
-2.32361533333333,-12.2211416666667,"brown",-4.63066083333333,0.156698916666667,-3.9528745,"no","normal",235.818416666667,1054.25,"N"
1.3059885,-13.6356,"brown",-6.817805,0.638564333333333,-14.0164833333333,"no","large",437.370666666667,1149,"N"
4.60041,-10.998,"brown",2.30021,-0.344431,9.88202,"yes","normal",445.219,1006,"N"
-1.95015256349206,-12.2963777777778,"brown",-6.14818436507937,0.0383156238095238,-19.2965196825397,"yes","normal",170.604888888889,1006.93174603175,"P"
3.7252225,-11.145675,"brown",-5.5728425,0.49596775,-3.17758075,"no","normal",425.979,1143.75,"N"
-1.79721417142857,-12.2494592857143,"brown",-3.30414897142857,0.267295385714286,-1.32208353571429,"no","normal",466.952421428571,1083.41428571429,"N"
0.9675309,-11.9273328571429,"brown",-5.96366071428571,-0.0567921,-12.5215461428571,"no","normal",209.997985714286,1161.92857142857,"P"
-0.3539155,-12.065075,"brown",-6.0325375,0.2512305,-8.82191,"no","normal",480.07525,1006.25,"P"
-2.39326386666667,-12.2945907142857,"brown",-3.95788933333333,0.147192442857143,-3.82692716666667,"no","normal",324.464002380952,1010.67380952381,"N"
2.38761033333333,-11.6800666666667,"red",-5.84003666666667,0.285616833333333,-9.68594,"no","large",454.458666666667,1122.33333333333,"N"
2.33407357142857,-12.0184428571429,"brown",-6.00922428571428,0.377320428571429,-3.68454428571429,"no","large",349.724857142857,1167,"N"
3.03581566666667,-12.15535,"red",1.51790866666667,0.133799166666667,4.03320633333333,"no","large",288.643333333333,1187,"N"
-2.01361866666667,-11.6827555555556,"brown",-5.84137111111111,-0.163506888888889,-19.2339333333333,"no","normal",228.400888888889,1002.11111111111,"P"
-0.7208324,-13.716285,"brown",-6.8581415,-0.03653235,-6.243695,"no","normal",180.961925,1004.75,"N"
-0.329465898809524,-12.9306232142857,"brown",-6.46531285714286,-0.0522485119047619,-25.5525089285714,"no","normal",366.819583333333,1161.625,"P"
-2.0586142,-12.01086,"brown",-6.005422,-0.311477,-21.17472,"no","normal",229.1324,1182.4,"P"
1.73999244444444,-12.4616111111111,"red",-6.23079861111111,-0.201339805555556,-3.95877672222222,"no","normal",352.532083333333,1156.80555555556,"N"
-2.609076,-13.05295,"brown",-6.526465,-0.1849195,-12.6559,"yes","large",375.5555,1026.5,"N"
1.94106125,-12.1057729166667,"brown",0.970530020833333,0.223057916666667,2.55880441666667,"no","normal",209.51975,1049.6875,"N"
-2.71747116666667,-11.5585166666667,"brown",-5.77925833333333,0.0792773333333334,-23.5272666666667,"no","large",267.2925,1172.16666666667,"N"
-0.551306083333333,-12.3660458333333,"brown",-6.18302583333333,0.0177720833333333,-20.0336625,"no","normal",251.034125,1189.20833333333,"P"
3.46238,-10.4294,"red",1.73119,-0.055724,4.816205,"no","large",134.054,1065,"N"
3.840596,-12.47834,"green",1.920298,0.1035298,6.399814,"yes","normal",113.7174,1097.4,"N"
0.855636666666666,-14.19305,"brown",-7.09653,0.0152555,-31.9147166666667,"no","normal",459.702833333333,1059.83333333333,"P"
-0.174065388888889,-12.4739344444444,"brown",-6.23697244444444,-0.0505809777777778,-21.2515966666667,"no","normal",146.169688888889,1098.12222222222,"P"
4.41058,-11.2442,"brown",2.205295,0.5331215,9.515485,"no","large",305.85,1090,"N"
-1.12358714285714,-11.4071714285714,"brown",-5.70358428571429,0.0559194285714286,-18.3397571428571,"no","normal",479.240857142857,1034.71428571429,"P"
2.70181785714286,-12.8272571428571,"brown",-6.41364285714286,-0.206400571428571,-2.50784428571429,"no","normal",448.991428571429,1047.14285714286,"N"
0.52105,-13.31865,"brown",-6.659335,-0.732648,-0.5270675,"yes","normal",322.7955,1135,"N"
2.75406,-12.09076875,"brown",-6.045378125,0.2000503125,-4.325885,"no","normal",179.9866875,1138.6875,"N"
-3.53229025,-11.906025,"brown",-3.62985315,-0.165211725,-2.54591245,"no","normal",287.9665,1105.7,"N"
-2.63353233333333,-12.9908833333333,"brown",-6.49544,-0.148234,-10.92403,"no","normal",170.321666666667,1112.66666666667,"P"
-3.64280666666667,-11.8454666666667,"brown",-5.92273166666667,0.410843166666667,-21.4309,"no","large",487.925,1194.66666666667,"P"
-0.323993458333333,-12.8607854166667,"brown",-6.430386875,0.0171512708333333,-18.9683479166667,"yes","normal",468.638770833333,1111.41666666667,"P"
