"Flength","FWidth","FSize","FConc","FConc1","FAsym","FM3Long","FM3Trans","FAlpha","FDist","class"
206.7469,70.6047,3.0232,0.2985,0.1431,86.171,196.6923,55.4418,80.4459,245.1055,"h"
55.48745,20.779375,3.145275,0.201875,0.1115,30.72285,-29.287275,-11.4547,6.210025,204.2545,"g"
33.942025,20.7371,2.9116,0.3044,0.164075,28.944975,9.9556,-10.131975,4.13255,192.97475,"g"
98.5681,37.7214,3.2964,0.144,0.072,23.0117,113.518,23.9109,34.082,281.275,"h"
24.280025,11.6642,2.47285,0.544,0.3028,24.345425,16.651075,-10.9618,23.358525,128.508975,"g"
75.0675333333333,54.6418666666667,3.28738333333333,0.189266666666667,0.105166666666667,-26.51135,52.471,34.1595166666667,20.8686666666667,306.341533333333,"h"
129.694,40.233425,3.24995,0.291825,0.150025,-18.08815,-131.24285,-36.11655,14.86285,327.7971,"h"
88.0847,34.9508166666667,3.89438333333333,0.1144,0.06045,33.0604333333333,81.4659333333333,19.81225,3.4434,222.136,"g"
20.2814388888889,9.92676111111111,2.32098333333333,0.633938888888889,0.351172222222222,-20.5095388888889,-13.0499555555556,-5.96575,15.4911166666667,164.538722222222,"g"
217.4863,41.7572,2.7925,0.31605,0.2011,-109.64865,-255.25405,20.4512,62.1165,68.3048,"h"
241.912091666667,36.2535833333333,2.942625,0.421458333333333,0.295575,-275.694008333333,138.836991666667,19.069575,25.5278916666667,255.551358333333,"h"
34.446425,21.565575,2.842775,0.26825,0.1458,20.910425,26.145425,14.155025,61.6574,111.73675,"g"
115.926383333333,17.9496333333333,2.68981666666667,0.37225,0.227633333333333,-43.7816833333333,-136.603633333333,1.93846666666667,61.0405166666667,141.504366666667,"g"
33.168375,20.5088,2.99546666666667,0.372775,0.226375,32.2476416666667,37.22245,-14.8064666666667,76.662025,145.332316666667,"h"
19.1881583333333,11.1037583333333,2.36634166666667,0.662508333333333,0.359391666666667,-15.4073375,-12.2885,8.42934166666667,39.2093,196.727833333333,"g"
