"H","diameter","albedo","diameter_sigma","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","rms","class"
15.105,5.9649380952381,0.0775309523809524,0.5469,0.202450111513203,2.7956621489371,2.22997961730447,10.2509775398054,269.976608171638,288.744850872074,137.580442611916,3.36134468056973,0.210934470003602,2458348.27507823,20180817.7750782,1707.49825358415,4.67487543760205,1.25934471428571,490.099182458571,5.06876380952381e-08,2.211705e-08,1.39488511904762e-07,7.22949833333333e-06,7.46480904761905e-05,7.99510142857143e-05,2.01452047619048e-05,2.6638069047619e-08,2.51214714285714e-09,9.2914180952381e-05,2.02475904761905e-05,0.540424976190476,"N"
14.6113289760349,6.26072222222222,0.108033864379085,0.607523420479303,0.0806229492106972,3.02942860370566,2.78493541196958,10.3985412050478,284.079894060857,126.100297654784,47.9945089813611,3.27392179544174,0.186995079181326,2458743.83044051,20190917.3304405,1926.07279316197,5.27329991283223,1.80259733523965,701.516804955215,5.96155593681917e-08,3.14842118736383e-08,1.86880054738562e-07,6.68190856481482e-06,3.92029342320261e-05,7.38923508986928e-05,5.66956199618736e-05,3.38941791938998e-08,2.90690866013072e-09,0.000302595565359477,3.004270166122e-05,0.533662239923747,"N"
14.2683333333333,8.3779,0.0712444444444445,0.686240740740741,0.210928898994475,3.12963342367683,2.46919020676257,10.8397040529398,145.233870527293,212.128316089083,78.6366720834986,3.7900766405911,0.178081262669773,2458558.90450349,20190316.4045035,2022.41138901187,5.53706061331106,1.48280175925926,577.061960650926,4.72738777777778e-08,2.34981777777778e-08,1.48012087037037e-07,5.51526537037037e-06,5.99101879629626e-05,6.29212833333333e-05,1.37445475925926e-05,2.84378388888889e-08,2.00347444444444e-09,7.60013851851852e-05,2.27822055555556e-05,0.543250296296296,"N"
14.8277777777778,4.24625,0.188083333333333,0.26675,0.0931188764195306,2.43284035265371,2.20605024344744,7.24677304432604,120.567446614565,61.8933386726698,315.886204693726,2.65963046185997,0.259788320653503,2459170.32648086,20201116.8264809,1386.07271682796,3.79486027878976,1.220895,475.13570715,3.88523611111111e-08,1.12798916666667e-08,9.64259722222222e-08,4.16734444444444e-06,4.45373944444439e-05,5.74525277777778e-05,3.23948888888889e-05,1.23140277777778e-08,1.81067777777778e-09,0.000124996555555556,9.63566944444444e-06,0.535269722222222,"N"
14.81,6.505,0.06595,0.8333,0.0537492637927428,3.22323819573892,3.04946840314829,13.4432406218854,80.241460836663,313.305350259576,112.169220917278,3.39700798832956,0.170342534075996,2458342.05864864,20180808.1086486,2113.72513314892,5.78706401957267,2.0637465,803.148225405,8.90675e-08,4.48225e-08,2.905725e-07,7.78454e-06,3.6461e-05,0.00012884565,0.0001152596,4.73169e-08,3.553685e-09,0.000673914,4.40882e-05,0.584094,"N"
15.5696984265734,3.44905124562937,0.231067460664336,0.256794034090909,0.191644587409947,2.32263581220778,1.87752213069692,7.32464790963746,208.128863657679,126.545415370306,262.36549733837,2.76774949371864,0.278552390466135,2459351.0032667,20210516.5032667,1293.01974611035,3.54009512966556,0.886001909943182,344.805363292588,4.64601686625874e-08,1.06872715734266e-08,1.09040405441434e-07,5.28447439685315e-06,5.45889899475525e-05,5.76094556381115e-05,1.5601572298951e-05,1.27329639707168e-08,1.91730319055944e-09,5.71878600087413e-05,8.92937706949301e-06,0.536419661057692,"N"
14.2027777777778,8.21258333333333,0.104,0.627277777777778,0.135923962170449,3.04933156313344,2.63410767602109,9.77672461581843,277.969027393449,222.574751103658,198.745311621391,3.46455545024579,0.18516196908473,2459871.32461279,20221018.8246128,1945.07533018461,5.32532602377718,1.65827972222222,645.352719497222,5.62179722222222e-08,2.82496388888889e-08,1.68184722222222e-07,6.13729166666667e-06,5.03820833333333e-05,6.21456111111111e-05,2.94076111111111e-05,3.22899166666667e-08,2.55971388888889e-09,0.000162352388888889,2.70575833333333e-05,0.540529444444444,"N"
15.2515873015873,4.46969682539683,0.12933253968254,0.52509246031746,0.195710598024086,2.38317747926711,1.91639079042773,7.25710644836034,295.082637120538,54.9332695923451,76.5538073188137,2.8499641681065,0.268030603387399,2458714.82433726,20190819.3243373,1343.9277103816,3.67947353971692,0.927289068650794,360.873086846829,4.8189153968254e-08,1.01208540079365e-08,1.15175913888889e-07,5.16568944444444e-06,5.77034030555556e-05,6.0693721031746e-05,1.22998682936508e-05,1.21064604365079e-08,1.69604150793651e-09,4.5946644047619e-05,8.57253845238095e-06,0.512422222222222,"N"
14.8864224664225,6.32714871794872,0.0915531135531135,0.495272527472528,0.0735057587180382,3.10293816270042,2.87466664521538,12.5743572903328,45.9102659303447,287.701295905551,296.802252305364,3.33120968018545,0.180351207435565,2459350.90839897,20210516.408399,1996.51701006111,5.46616566751845,1.8901189035409,735.577573691013,7.63008229548229e-08,4.80577567765568e-08,2.45463902319902e-07,8.04950358974359e-06,3.63968644688645e-05,0.000176836606349206,0.000168042589499389,5.20727536019536e-08,4.18021514041514e-09,0.00093278785079365,4.64035601953602e-05,0.573615416361416,"N"
15.5458333333333,4.27145,0.0730916666666667,0.312883333333333,0.150287880204843,2.9812004051569,2.5329223368797,9.20424756339657,73.1360839945371,75.2634605724746,308.961973366868,3.4294784734341,0.191498131874211,2459267.0043811,20210240.7043811,1880.15890487649,5.14759453764953,1.546742,601.94558414,7.20598166666667e-08,3.2428075e-08,2.20071416666667e-07,6.70708666666667e-06,0.000122231983333333,0.00013126215,3.07045e-05,3.73009833333333e-08,3.12287666666667e-09,0.000162420883333333,3.06802166666667e-05,0.587439083333333,"N"
