"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V13","V19","V22","V30","V33","V35","V36","V40","V41","V42","V43","V45","V47","V50","V51","V52","V59","V63","V72","V75","class"
2.125,7.125,12.625,14.875,14.125,7.375,2.25,14.875,13.5,"1",1.125,6,"3","2","0","1","9",6.625,8.625,"2",8.375,219,"1",8.375,122.25,2.75,"0",12.25,5.875,1.5,1.125,"0"
0,14.6363636363636,22.3636363636364,11.6363636363636,2755.54545454545,233.727272727273,25.0909090909091,24.7272727272727,272.818181818182,"0",4.72727272727273,26.6363636363636,"7","2","1","2","9",4.63636363636364,17.9090909090909,"3",12.6363636363636,2.09090909090909,"1",5.54545454545455,4.18181818181818,2.27272727272727,"1",2.63636363636364,6.18181818181818,1.72727272727273,7.36363636363636,"0"
0,62.75,11.25,5.5,5802.25,67.75,10,11.5,45.5,"0",1.5,5.5,"3","2","1","1","9",5.75,254.25,"3",15.75,10.5,"5",7.25,5.25,4.75,"1",5.5,6.25,2.75,0.75,"1"
26.65,6.35,7.05,4.35,79.1,6.55,40.75,11.1,30.7,"1",4.1,5.05,"7","2","1","3","9",6.5,4.25,"1",5.05,11.55,"1",5.4,4.7,2.3,"1",7.65,6.75,1.6,3.2,"0"
3.16666666666667,259.166666666667,16.8333333333333,9.33333333333333,98.1666666666667,38.1666666666667,13.6666666666667,36.1666666666667,182.333333333333,"1",4.5,18.5,"4","2","1","3","9",6,9.66666666666667,"0",10.6666666666667,28.8333333333333,"1",5,35.8333333333333,3.83333333333333,"0",30.6666666666667,6.16666666666667,1.33333333333333,2.66666666666667,"0"
3.64473684210526,3.36184210526316,5.25526315789474,4.16184210526316,3.55131578947368,2.07368421052632,5.53289473684211,6.00263157894737,7.39078947368421,"1",1.75789473684211,1.48026315789474,"3","2","1","3","9",6.23026315789474,5.01315789473684,"3",5.10394736842105,9.125,"1",6.675,31.7763157894737,2.28947368421053,"1",2.54736842105263,5.92105263157895,2.64210526315789,3.88157894736842,"0"
0,11,6.5,8.8,2242.1,402.5,10.8,29.2,103.3,"0",2.3,11.5,"7","2","1","3","9",6.3,12.2,"3",15.7,28.1,"1",5.4,23.6,3.7,"0",25.4,6.1,1.8,1.5,"1"
2.45454545454545,51.7272727272727,6.72727272727273,4.18181818181818,127.090909090909,13.0909090909091,5.54545454545455,4.09090909090909,6.27272727272727,"1",1.45454545454545,4.81818181818182,"7","2","7","2","9",5.72727272727273,10.5454545454545,"0",10,52.0909090909091,"1",4.90909090909091,7.18181818181818,3.27272727272727,"0",9.45454545454546,6.54545454545455,3.45454545454545,2.45454545454545,"1"
0,8.6,4.4,3,9993.2,224.6,25,4.6,106.8,"0",1.8,3.4,"3","2","1","3","9",5.4,4.2,"3",4.4,568.6,"1",5.8,9.6,1.8,"0",5,7.4,3.6,1.2,"1"
3.75,44.375,3.5,4.625,142.75,19,8.375,16.25,56.375,"1",2.75,4.625,"3","2","1","3","9",5,1.625,"3",16.5,8,"1",5.75,5.25,2.375,"0",13.5,4.375,1.5,5,"1"
3.14347826086957,7.4,10.0913043478261,3.6304347826087,1209.35652173913,8.94565217391304,7.48043478260869,8.02826086956522,13.0891304347826,"0",1.99565217391304,4.28913043478261,"7","2","1","0","9",6.32391304347826,7.75869565217391,"3",21.0108695652174,53.7934782608696,"1",6.07173913043478,7.89130434782609,2.41521739130435,"1",4.2304347826087,5.30217391304348,1.72608695652174,2.71304347826087,"0"
4.66666666666667,102,6,7.66666666666667,1298.33333333333,31,15,29,190.333333333333,"0",3.33333333333333,11.3333333333333,"0","2","1","0","9",5,195.333333333333,"1",12,55.6666666666667,"1",4.66666666666667,1.33333333333333,2,"1",9.33333333333333,7,4,2,"0"
8.23076923076923,64.8461538461538,11.6923076923077,10.1538461538462,12.8461538461538,4.38461538461539,50.8461538461538,22.3846153846154,391.923076923077,"1",12.3846153846154,4.23076923076923,"7","2","1","0","9",6.69230769230769,8.23076923076923,"3",10.5384615384615,3.76923076923077,"1",7.15384615384615,9.46153846153846,2.07692307692308,"1",3,6.07692307692308,1.92307692307692,0.846153846153846,"0"
0,0.75,17.75,8,2515.75,135.5,181.75,36.25,1232.5,"0",21.75,13.25,"3","2","6","0","9",3.25,3.25,"3",12.75,50.25,"1",6.5,7.25,5.75,"0",190.25,3.75,1.5,1.25,"1"
2.84615384615385,301.846153846154,9.38461538461539,5.84615384615385,7.92307692307692,2.46153846153846,7.38461538461539,8.38461538461539,18.6153846153846,"1",2.38461538461538,1.92307692307692,"9","2","1","2","9",6.61538461538461,50.4615384615385,"3",9.15384615384615,9.76923076923077,"1",6.30769230769231,3.92307692307692,5,"0",3,6.23076923076923,2.69230769230769,2,"0"
6.125,19.1071428571429,29.25,11.8392857142857,311.535714285714,24.4285714285714,37.1607142857143,26.3928571428571,190.696428571429,"1",7.76785714285714,13.8928571428571,"4","2","1","2","9",5.75,5.08928571428571,"3",7.21428571428571,25.5892857142857,"1",5.66071428571429,5.71428571428571,3.875,"1",179.589285714286,6.39285714285714,6.41071428571429,7.30357142857143,"1"
5.125,82.875,13.875,14,15.25,3.375,18,28.5,227.375,"1",4.875,3.375,"4","2","1","0","9",6.875,2.625,"3",6.75,181.5,"1",4.25,2.875,5.125,"0",26.625,6.625,5.625,4.375,"0"
3.875,45,11.125,5.625,3.75,4.875,4.125,6.125,8.375,"1",1.25,2.125,"4","2","1","2","9",6.25,65.625,"3",36,9.125,"1",6.875,10.875,1.875,"0",3.125,5.375,3.375,1.5,"0"
3.85714285714286,41.8571428571429,9.85714285714286,12.7142857142857,4.85714285714286,3.85714285714286,17,22.4285714285714,131.285714285714,"1",5.28571428571429,3.14285714285714,"4","2","1","0","9",5.42857142857143,9.85714285714286,"3",17.2857142857143,191.285714285714,"1",4.14285714285714,6.42857142857143,3.14285714285714,"1",23.2857142857143,5.42857142857143,5.57142857142857,2.14285714285714,"0"
25.7142857142857,2.42857142857143,8.57142857142857,8,334.428571428571,9.42857142857143,47.7142857142857,12.2857142857143,18.1428571428571,"1",4.42857142857143,8,"3","2","1","3","8",6.71428571428571,7.85714285714286,"3",6.85714285714286,4.85714285714286,"1",6,11.8571428571429,3.42857142857143,"1",5.85714285714286,5.71428571428571,1.57142857142857,2,"0"
4.7,10.9,7.6,36.7,31.9,39,5.1,32.3,43.5,"1",1.5,34.5,"3","2","1","3","9",6.9,2.7,"0",6.1,144.6,"1",7.8,4,1.1,"1",6,5.2,1.7,3.8,"0"
6,93,79,0,133,197,48,48,149,"1",6,0,"4","2","1","0","9",7,11,"3",9,14,"1",3,4552,6,"0",2,6,0,0,"0"
0,6.3,7.9,9.6,1800.5,84.6,21.9,33,179.9,"0",4.3,13.9,"7","2","1","3","9",6.2,22.1,"3",12.2,143.1,"1",6.5,10.3,2.9,"1",7,6.3,2.8,2.4,"0"
